PBL - Sensor Data Log example csv file

No,Sensor,Date,Time,Light,Temperature,Humidity

1,S1,01-06-2023,00:00:00,81,30,45

2,S3,01-06-2023,00:00:05,36,26,95

3,S2,01-06-2023,00:00:10,54,21,70

4,S2,01-06-2023,00:00:15,42,39,50

5,S3,01-06-2023,00:00:20,49,42,85

6,S3,01-06-2023,00:00:25,70,38,73

7,S3,01-06-2023,00:00:30,32,44,68

8,S2,01-06-2023,00:00:35,90,43,89

9,S3,01-06-2023,00:00:40,33,22,88

10,S3,01-06-2023,00:00:45,33,26,50

11,S2,01-06-2023,00:00:50,50,42,88

12,S1,01-06-2023,00:00:55,89,40,76

13,S3,01-06-2023,00:01:00,61,32,82

14,S1,01-06-2023,00:01:05,77,38,59

15,S3,01-06-2023,00:01:10,93,44,52

16,S2,01-06-2023,00:01:15,74,30,45

17,S3,01-06-2023,00:01:20,97,30,42

18,S1,01-06-2023,00:01:25,39,20,41

19,S3,01-06-2023,00:01:30,41,29,98

20,S3,01-06-2023,00:01:35,92,38,65

21,S1,01-06-2023,00:01:40,61,33,64

22,S3,01-06-2023,00:01:45,71,20,84

23,S2,01-06-2023,00:01:50,35,21,74

24,S3,01-06-2023,00:01:55,89,22,56

25,S2,01-06-2023,00:02:00,95,31,67

26,S2,01-06-2023,00:02:05,31,45,69

27,S3,01-06-2023,00:02:10,97,32,65

28,S1,01-06-2023,00:02:15,83,32,99

29,S3,01-06-2023,00:02:20,71,24,46

30,S2,01-06-2023,00:02:25,89,31,91

31,S2,01-06-2023,00:02:30,50,39,58

32,S2,01-06-2023,00:02:35,49,42,77

33,S3,01-06-2023,00:02:40,72,34,95

34,S2,01-06-2023,00:02:45,56,35,62

35,S2,01-06-2023,00:02:50,91,32,47

36,S3,01-06-2023,00:02:55,86,30,70

37,S2,01-06-2023,00:03:00,66,21,68

38,S1,01-06-2023,00:03:05,84,40,41

39,S3,01-06-2023,00:03:10,60,33,45

40,S3,01-06-2023,00:03:15,59,41,77

41,S1,01-06-2023,00:03:20,42,39,83

42,S1,01-06-2023,00:03:25,66,45,100

43,S1,01-06-2023,00:03:30,33,45,56

44,S1,01-06-2023,00:03:35,81,32,98

45,S3,01-06-2023,00:03:40,73,37,59

46,S3,01-06-2023,00:03:45,94,45,45

47,S2,01-06-2023,00:03:50,90,30,95

48,S2,01-06-2023,00:03:55,39,43,80

49,S1,01-06-2023,00:04:00,49,45,92

50,S1,01-06-2023,00:04:05,99,42,40

51,S1,01-06-2023,00:04:10,70,41,60

52,S3,01-06-2023,00:04:15,46,26,51

53,S2,01-06-2023,00:04:20,31,45,49

54,S1,01-06-2023,00:04:25,44,31,82

55,S3,01-06-2023,00:04:30,77,24,63

56,S3,01-06-2023,00:04:35,68,41,100

57,S3,01-06-2023,00:04:40,57,24,96

58,S2,01-06-2023,00:04:45,60,38,82

59,S1,01-06-2023,00:04:50,59,42,72

60,S1,01-06-2023,00:04:55,47,27,55

61,S2,01-06-2023,00:05:00,97,31,72

62,S2,01-06-2023,00:05:05,72,21,77

63,S2,01-06-2023,00:05:10,59,44,68

64,S3,01-06-2023,00:05:15,51,24,43

65,S2,01-06-2023,00:05:20,67,39,74

66,S1,01-06-2023,00:05:25,61,32,73

67,S3,01-06-2023,00:05:30,33,39,53

68,S1,01-06-2023,00:05:35,52,24,75

69,S3,01-06-2023,00:05:40,33,25,78

70,S1,01-06-2023,00:05:45,73,36,65

71,S2,01-06-2023,00:05:50,87,44,70

72,S3,01-06-2023,00:05:55,51,21,85

73,S2,01-06-2023,00:06:00,60,37,91

74,S3,01-06-2023,00:06:05,46,39,96

75,S1,01-06-2023,00:06:10,75,23,78

76,S2,01-06-2023,00:06:15,49,36,49

77,S3,01-06-2023,00:06:20,48,27,76

78,S3,01-06-2023,00:06:25,63,32,80

79,S3,01-06-2023,00:06:30,98,25,46

80,S2,01-06-2023,00:06:35,76,35,54

81,S1,01-06-2023,00:06:40,89,43,99

82,S3,01-06-2023,00:06:45,41,41,50

83,S1,01-06-2023,00:06:50,58,34,61

84,S1,01-06-2023,00:06:55,33,23,70

85,S1,01-06-2023,00:07:00,86,21,53

86,S1,01-06-2023,00:07:05,97,41,75

87,S3,01-06-2023,00:07:10,77,30,46

88,S1,01-06-2023,00:07:15,58,34,49

89,S1,01-06-2023,00:07:20,65,30,45

90,S3,01-06-2023,00:07:25,88,34,76

91,S3,01-06-2023,00:07:30,90,30,90

92,S1,01-06-2023,00:07:35,86,35,52

93,S1,01-06-2023,00:07:40,88,23,76

94,S3,01-06-2023,00:07:45,59,43,98

95,S2,01-06-2023,00:07:50,42,33,73

96,S3,01-06-2023,00:07:55,37,42,78

97,S3,01-06-2023,00:08:00,42,24,96

98,S2,01-06-2023,00:08:05,68,39,97

99,S2,01-06-2023,00:08:10,38,26,77

100,S3,01-06-2023,00:08:15,77,32,95
